,,,,Date,01/01/2018,01/06/2018
"Water, turbine use, unspecified natural origin, BE",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, BG",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, BR",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, CA",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, CH",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, CL",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, CN",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, CZ",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, DE",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, DK",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, EE",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, ES",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, FI",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, FR",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, GB",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, GLO",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, GR",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, HR",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, HU",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, ID",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, IE",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, IN",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, IR",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, IS",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, IT",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, JP",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, KR",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, LT",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, LU",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, LV",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, MK",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, MX",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, MY",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, NL",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, NO",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, PE",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, PL",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, PT",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, RER",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, RNA",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, RO",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, RoW",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, RS",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, RU",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, SE",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, SI",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, SK",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, TH",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, TR",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, TW",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, TZ",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, UA",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, US",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, ZA",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, AT",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, AU",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, BA",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, BE",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, BG",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, BR",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, CA",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, CH",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, CL",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, CN",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, CZ",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, DE",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, DK",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, EE",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, ES",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, Europe without Switzerland",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, FI",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, FR",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, GB",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, GLO",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, HR",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, HU",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, IAI Area 1",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, IAI Area 2, without Quebec",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, IAI Area 3",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, IAI Area 4&5 without China",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, IAI Area 8",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, IAI Area, EU27 & EFTA",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, IAI Area, Europe outside EU & EFTA",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, IN",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, IR",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, IT",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, JP",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, KR",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, LU",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, MX",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, NL",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, NO",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, NORDEL",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, PG",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, PH",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, PL",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, PT",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, RAF",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, RER",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, RER w/o CH+DE",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, RME",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, RNA",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, RO",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, RoW",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, RS",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, RU",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, SE",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, SK",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, TH",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, TR",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, TW",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, UA",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, UN-EUROPE",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, UN-OCEANIA",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, US",Raw,in water,m3 / year,,,
"Water, unspecified natural origin, WEU",Raw,in water,m3 / year,,,
"Water, well, in ground, AT",Raw,in water,m3 / year,,,
"Water, well, in ground, AU",Raw,in water,m3 / year,,,
"Water, well, in ground, BE",Raw,in water,m3 / year,,,
"Water, well, in ground, BG",Raw,in water,m3 / year,,,
"Water, well, in ground, BR",Raw,in water,m3 / year,,,
"Water, well, in ground, CA",Raw,in water,m3 / year,,,
"Water, well, in ground, CH",Raw,in water,m3 / year,,,
"Water, well, in ground, CN",Raw,in water,m3 / year,,,
"Water, well, in ground, CZ",Raw,in water,m3 / year,,,
"Water, well, in ground, DE",Raw,in water,m3 / year,,,
"Water, well, in ground, DK",Raw,in water,m3 / year,,,
"Water, well, in ground, EE",Raw,in water,m3 / year,,,
"Water, well, in ground, ES",Raw,in water,m3 / year,,,
"Water, well, in ground, Europe without Switzerland",Raw,in water,m3 / year,,,
"Water, well, in ground, FI",Raw,in water,m3 / year,,,
"Water, well, in ground, FR",Raw,in water,m3 / year,,,
"Water, well, in ground, GB",Raw,in water,m3 / year,,,
"Water, well, in ground, GLO",Raw,in water,m3 / year,,,
"Water, well, in ground, GR",Raw,in water,m3 / year,,,
"Water, well, in ground, HR",Raw,in water,m3 / year,,,
"Water, well, in ground, HU",Raw,in water,m3 / year,,,
"Water, well, in ground, ID",Raw,in water,m3 / year,,,
"Water, well, in ground, IE",Raw,in water,m3 / year,,,
"Water, well, in ground, IN",Raw,in water,m3 / year,,,
"Water, well, in ground, IR",Raw,in water,m3 / year,,,
"Water, well, in ground, IS",Raw,in water,m3 / year,,,
"Water, well, in ground, IT",Raw,in water,m3 / year,,,
"Water, well, in ground, JP",Raw,in water,m3 / year,,,
"Water, well, in ground, KR",Raw,in water,m3 / year,,,
"Water, well, in ground, LT",Raw,in water,m3 / year,,,
"Water, well, in ground, LU",Raw,in water,m3 / year,,,
"Water, well, in ground, LV",Raw,in water,m3 / year,,,
"Water, well, in ground, MA",Raw,in water,m3 / year,,,
"Water, well, in ground, MX",Raw,in water,m3 / year,,,
"Water, well, in ground, MY",Raw,in water,m3 / year,,,
"Water, well, in ground, NL",Raw,in water,m3 / year,,,
"Water, well, in ground, NO",Raw,in water,m3 / year,,,
"Water, well, in ground, NORDEL",Raw,in water,m3 / year,,,
"Water, well, in ground, PE",Raw,in water,m3 / year,,,
"Water, well, in ground, PG",Raw,in water,m3 / year,,,
"Water, well, in ground, PH",Raw,in water,m3 / year,,,
"Water, well, in ground, PL",Raw,in water,m3 / year,,,
"Water, well, in ground, PT",Raw,in water,m3 / year,,,
"Water, well, in ground, RER",Raw,in water,m3 / year,,,
"Water, well, in ground, RLA",Raw,in water,m3 / year,,,
"Water, well, in ground, RNA",Raw,in water,m3 / year,,,
"Water, well, in ground, RO",Raw,in water,m3 / year,,,
"Water, well, in ground, RoW",Raw,in water,m3 / year,,,
"Water, well, in ground, RS",Raw,in water,m3 / year,,,
"Water, well, in ground, RU",Raw,in water,m3 / year,,,
"Water, well, in ground, SE",Raw,in water,m3 / year,,,
"Water, well, in ground, SI",Raw,in water,m3 / year,,,
"Water, well, in ground, SK",Raw,in water,m3 / year,,,
"Water, well, in ground, TH",Raw,in water,m3 / year,,,
"Water, well, in ground, TN",Raw,in water,m3 / year,,,
"Water, well, in ground, TR",Raw,in water,m3 / year,,,
"Water, well, in ground, TW",Raw,in water,m3 / year,,,
"Water, well, in ground, US",Raw,in water,m3 / year,,,
"Water, well, in ground, WEU",Raw,in water,m3 / year,,,
"Water, well, in ground, ZA",Raw,in water,m3 / year,,,
"Wood, hard, standing",Raw,biotic,m3 / year,,,
"Wood, soft, standing",Raw,biotic,m3 / year,,,
"Wood, unspecified, standing/m3",Raw,biotic,m3 / year,,,
Xenon,Raw,in air,kg / year,,,
Zinc,Raw,in ground,kg / year,,,
"Zinc, Zn 0.63%, Au 9.7E-4%, Ag 9.7E-4%, Cu 0.38%, Pb 0.014%, in ore",Raw,in ground,kg / year,,,
"Zinc, Zn 3.1%, in mixed ore",Raw,in ground,kg / year,,,
Zirconium,Raw,in ground,kg / year,,,
1-Butanol,Air,high. pop.,kg / year,,1,
1-Pentanol,Air,high. pop.,kg / year,,1,
1-Pentene,Air,high. pop.,kg / year,,1,
1-Propanol,Air,high. pop.,kg / year,,1,
1-Propanol,Air,low. pop.,kg / year,,1,
"1,4-Butanediol",Air,low. pop.,kg / year,,1,
"1,4-Butanediol",Air,high. pop.,kg / year,,1,
2-Aminopropanol,Air,high. pop.,kg / year,,1,
"2-Butene, 2-methyl-",Air,high. pop.,kg / year,,1,
2-Methyl-1-propanol,Air,low. pop.,kg / year,,1,
2-Methyl-1-propanol,Air,high. pop.,kg / year,,1,
2-Methyl-4-chlorophenoxyacetic acid,Air,low. pop.,kg / year,,1,
2-Nitrobenzoic acid,Air,high. pop.,kg / year,,1,
2-Propanol,Air,high. pop.,kg / year,,1,
2-Propanol,Air,low. pop.,kg / year,,1,
2-Propanol,Air,,kg / year,,1,
"2,4-D",Air,low. pop.,kg / year,,1,
"2,4-D ester",Air,low. pop.,kg / year,,1,
"2,4-D, dimethylamine salt",Air,low. pop.,kg / year,,1,
3-Methyl-1-butanol,Air,high. pop.,kg / year,,1,
4-Methyl-2-pentanone,Air,low. pop.,kg / year,,1,
4-Methyl-2-pentanone,Air,high. pop.,kg / year,,1,
Acenaphthene,Air,high. pop.,kg / year,,1,
Acenaphthene,Air,low. pop.,kg / year,,1,
Acenaphthene,Air,,kg / year,,1,
Acenaphthylene,Air,,kg / year,,1,
Acephate,Air,low. pop.,kg / year,,1,
Acetaldehyde,Air,high. pop.,kg / year,,1,
Acetaldehyde,Air,low. pop.,kg / year,,1,
Acetaldehyde,Air,,kg / year,,1,
Acetamide,Air,low. pop.,kg / year,,1,
Acetic acid,Air,high. pop.,kg / year,,1,
Acetic acid,Air,low. pop.,kg / year,,1,
Acetic acid,Air,,kg / year,,1,
Acetone,Air,high. pop.,kg / year,,1,
Acetone,Air,low. pop.,kg / year,,1,
Acetone,Air,,kg / year,,1,
Acetonitrile,Air,low. pop.,kg / year,,1,
Acifluorfen,Air,low. pop.,kg / year,,1,
Acrolein,Air,high. pop.,kg / year,,1,
Acrolein,Air,low. pop.,kg / year,,1,
Acrolein,Air,,kg / year,,1,
Acrylic acid,Air,high. pop.,kg / year,,1,
"Actinides, radioactive, unspecified",Air,low. pop.,Bq / year,,1,
"Aerosols, radioactive, unspecified",Air,low. pop.,Bq / year,,1,
Alachlor,Air,low. pop.,kg / year,,1,
"Aldehydes, unspecified",Air,high. pop.,kg / year,,1,
"Aldehydes, unspecified",Air,low. pop.,kg / year,,1,
"Aldehydes, unspecified",Air,,kg / year,,1,
Aluminium,Air,high. pop.,kg / year,,1,
Aluminium,Air,"low. pop., long-term",kg / year,,1,
Aluminium,Air,low. pop.,kg / year,,1,
Aluminium,Air,,kg / year,,1,
Ammonia,Air,high. pop.,kg / year,,1,
Ammonia,Air,"low. pop., long-term",kg / year,,1,
Ammonia,Air,low. pop.,kg / year,,1,
Ammonia,Air,,kg / year,,1,
Ammonium carbonate,Air,high. pop.,kg / year,,1,
Aniline,Air,high. pop.,kg / year,,1,
Anthracene,Air,,kg / year,,1,
Anthranilic acid,Air,high. pop.,kg / year,,1,
Antimony,Air,high. pop.,kg / year,,1,
Antimony,Air,"low. pop., long-term",kg / year,,1,
Antimony,Air,low. pop.,kg / year,,1,
Antimony,Air,,kg / year,,1,
Antimony-124,Air,low. pop.,Bq / year,,1,
Antimony-125,Air,low. pop.,Bq / year,,1,
Argon-40,Air,,kg / year,,1,
Argon-41,Air,low. pop.,Bq / year,,1,
Arsenic,Air,high. pop.,kg / year,,1,
Arsenic,Air,"low. pop., long-term",kg / year,,1,
Arsenic,Air,low. pop.,kg / year,,1,
Arsenic,Air,,kg / year,,1,
Arsine,Air,high. pop.,kg / year,,1,
Atrazine,Air,low. pop.,kg / year,,1,
Azoxystrobin,Air,low. pop.,kg / year,,1,
Barium,Air,high. pop.,kg / year,,1,
Barium,Air,"low. pop., long-term",kg / year,,1,
Barium,Air,low. pop.,kg / year,,1,
Barium,Air,,kg / year,,1,
Barium-140,Air,low. pop.,Bq / year,,1,
Bentazone,Air,low. pop.,kg / year,,1,
Benzal chloride,Air,high. pop.,kg / year,,1,
Benzal chloride,Air,,kg / year,,1,
Benzaldehyde,Air,high. pop.,kg / year,,1,
Benzaldehyde,Air,low. pop.,kg / year,,1,
Benzaldehyde,Air,,kg / year,,1,
Benzene,Air,stratosphere + troposphere,kg / year,,1,
Benzene,Air,high. pop.,kg / year,,1,
Benzene,Air,low. pop.,kg / year,,1,
Benzene,Air,,kg / year,,1,
"Benzene, 1-methyl-2-nitro-",Air,high. pop.,kg / year,,1,
"Benzene, 1,2-dichloro-",Air,high. pop.,kg / year,,1,
"Benzene, ethyl-",Air,high. pop.,kg / year,,1,
"Benzene, ethyl-",Air,low. pop.,kg / year,,1,
"Benzene, ethyl-",Air,,kg / year,,1,
"Benzene, hexachloro-",Air,high. pop.,kg / year,,1,
"Benzene, hexachloro-",Air,low. pop.,kg / year,,1,
"Benzene, hexachloro-",Air,,kg / year,,1,
"Benzene, pentachloro-",Air,high. pop.,kg / year,,1,
Benzo(a)anthracene,Air,,kg / year,,1,
Benzo(a)pyrene,Air,high. pop.,kg / year,,1,
Benzo(a)pyrene,Air,low. pop.,kg / year,,1,
Benzo(a)pyrene,Air,,kg / year,,1,
Benzo(b)fluoranthene,Air,,kg / year,,1,
"Benzo(g,h,i)perylene",Air,,kg / year,,1,
Benzo(k)fluoranthene,Air,,kg / year,,1,
Beryllium,Air,high. pop.,kg / year,,1,
Beryllium,Air,"low. pop., long-term",kg / year,,1,
Beryllium,Air,low. pop.,kg / year,,1,
Beryllium,Air,,kg / year,,1,
Boric acid,Air,high. pop.,kg / year,,1,
Boron,Air,high. pop.,kg / year,,1,
Boron,Air,"low. pop., long-term",kg / year,,1,
Boron,Air,low. pop.,kg / year,,1,
Boron,Air,,kg / year,,1,
Boron trifluoride,Air,high. pop.,kg / year,,1,
Bromine,Air,high. pop.,kg / year,,1,
Bromine,Air,low. pop.,kg / year,,1,
Bromine,Air,,kg / year,,1,
Bromoxynil,Air,low. pop.,kg / year,,1,
Butadiene,Air,stratosphere + troposphere,kg / year,,1,
Butadiene,Air,high. pop.,kg / year,,1,
Butadiene,Air,low. pop.,kg / year,,1,
Butadiene,Air,,kg / year,,1,
Butane,Air,high. pop.,kg / year,,1,
Butane,Air,low. pop.,kg / year,,1,
Butane,Air,,kg / year,,1,
Butene,Air,high. pop.,kg / year,,1,
"Butylcarbamate, iodopropynyl",Air,low. pop.,kg / year,,1,
"Butyric acid, 4-(2,4-dichlorophenoxy)-",Air,low. pop.,kg / year,,1,
Butyrolactone,Air,high. pop.,kg / year,,1,
Cadmium,Air,stratosphere + troposphere,kg / year,,1,
Cadmium,Air,high. pop.,kg / year,,1,
Cadmium,Air,"low. pop., long-term",kg / year,,1,
Cadmium,Air,low. pop.,kg / year,,1,
Cadmium,Air,,kg / year,,1,
Calcium,Air,high. pop.,kg / year,,1,
Calcium,Air,"low. pop., long-term",kg / year,,1,
Calcium,Air,low. pop.,kg / year,,1,
Calcium,Air,,kg / year,,1,
Carbaryl,Air,low. pop.,kg / year,,1,
Carbon,Air,high. pop.,kg / year,,1,
Carbon-14,Air,low. pop.,Bq / year,,1,
Carbon dioxide,Air,,kg / year,,1,
"Carbon dioxide, biogenic",Air,high. pop.,kg / year,,1,
"Carbon dioxide, biogenic",Air,low. pop.,kg / year,,1,
"Carbon dioxide, biogenic",Air,,kg / year,,1,
"Carbon dioxide, fossil",Air,stratosphere + troposphere,kg / year,,1,
"Carbon dioxide, fossil",Air,high. pop.,kg / year,,1,
"Carbon dioxide, fossil",Air,low. pop.,kg / year,,1,
"Carbon dioxide, fossil",Air,,kg / year,,1,
"Carbon dioxide, land transformation",Air,low. pop.,kg / year,,1,
"Carbon dioxide, land transformation",Air,,kg / year,,1,
Carbon disulfide,Air,high. pop.,kg / year,,1,
Carbon disulfide,Air,low. pop.,kg / year,,1,
Carbon disulfide,Air,,kg / year,,1,
"Carbon monoxide, biogenic",Air,high. pop.,kg / year,,1,
"Carbon monoxide, biogenic",Air,low. pop.,kg / year,,1,
"Carbon monoxide, biogenic",Air,,kg / year,,1,
"Carbon monoxide, fossil",Air,stratosphere + troposphere,kg / year,,1,
"Carbon monoxide, fossil",Air,high. pop.,kg / year,,1,
"Carbon monoxide, fossil",Air,low. pop.,kg / year,,1,
"Carbon monoxide, fossil",Air,,kg / year,,1,
"Carbon monoxide, land transformation",Air,low. pop.,kg / year,,1,
Carbonyl sulfide,Air,,kg / year,,1,
Carfentrazone-ethyl,Air,low. pop.,kg / year,,1,
Cerium-141,Air,low. pop.,Bq / year,,1,
Cesium-134,Air,low. pop.,Bq / year,,1,
Cesium-137,Air,low. pop.,Bq / year,,1,
Chloramine,Air,high. pop.,kg / year,,1,
Chlorimuron-ethyl,Air,low. pop.,kg / year,,1,
"Chlorinated solvents, unspecified",Air,low. pop.,kg / year,,1,
Chlorine,Air,high. pop.,kg / year,,1,
Chlorine,Air,"low. pop., long-term",kg / year,,1,
Chlorine,Air,low. pop.,kg / year,,1,
Chlorine,Air,,kg / year,,1,
Chloroacetic acid,Air,high. pop.,kg / year,,1,
Chloroform,Air,high. pop.,kg / year,,1,
Chloroform,Air,low. pop.,kg / year,,1,
Chloroform,Air,,kg / year,,1,
"Chlorosilane, trimethyl-",Air,high. pop.,kg / year,,1,
Chlorosulfonic acid,Air,high. pop.,kg / year,,1,
Chlorosulfonic acid,Air,,kg / year,,1,
Chlorpyrifos,Air,low. pop.,kg / year,,1,
Chromium,Air,stratosphere + troposphere,kg / year,,1,
Chromium,Air,high. pop.,kg / year,,1,
Chromium,Air,low. pop.,kg / year,,1,
Chromium,Air,,kg / year,,1,
Chromium-51,Air,low. pop.,Bq / year,,1,
Chromium IV,Air,high. pop.,kg / year,,1,
Chromium VI,Air,high. pop.,kg / year,,1,
Chromium VI,Air,"low. pop., long-term",kg / year,,1,
Chromium VI,Air,low. pop.,kg / year,,1,
Chromium VI,Air,,kg / year,,1,
Chrysene,Air,,kg / year,,1,
Clethodim,Air,low. pop.,kg / year,,1,
Cloransulam-methyl,Air,low. pop.,kg / year,,1,
Cobalt,Air,high. pop.,kg / year,,1,
Cobalt,Air,"low. pop., long-term",kg / year,,1,
Cobalt,Air,low. pop.,kg / year,,1,
Cobalt,Air,,kg / year,,1,
Cobalt-58,Air,low. pop.,Bq / year,,1,
Cobalt-60,Air,low. pop.,Bq / year,,1,
Copper,Air,stratosphere + troposphere,kg / year,,1,
Copper,Air,high. pop.,kg / year,,1,
Copper,Air,"low. pop., long-term",kg / year,,1,
Copper,Air,low. pop.,kg / year,,1,
Copper,Air,,kg / year,,1,
Cumene,Air,high. pop.,kg / year,,1,
Cumene,Air,low. pop.,kg / year,,1,
Cumene,Air,,kg / year,,1,
Cyanide,Air,high. pop.,kg / year,,1,
Cyanide,Air,low. pop.,kg / year,,1,
Cyanide,Air,,kg / year,,1,
Cyanoacetic acid,Air,high. pop.,kg / year,,1,
Cyclohexane,Air,high. pop.,kg / year,,1,
Cyclohexane,Air,low. pop.,kg / year,,1,
Cyfluthrin,Air,low. pop.,kg / year,,1,
"Cyhalothrin, gamma-",Air,low. pop.,kg / year,,1,
Cypermethrin,Air,low. pop.,kg / year,,1,
"Dibenz(a,h)anthracene",Air,,kg / year,,1,
Dicamba,Air,low. pop.,kg / year,,1,
Dichlorprop,Air,low. pop.,kg / year,,1,
Diethyl ether,Air,high. pop.,kg / year,,1,
Diethylamine,Air,high. pop.,kg / year,,1,
Diethylene glycol,Air,high. pop.,kg / year,,1,
Diethylene glycol,Air,low. pop.,kg / year,,1,
Diflubenzuron,Air,low. pop.,kg / year,,1,
Dimethenamid,Air,low. pop.,kg / year,,1,
Dimethyl malonate,Air,high. pop.,kg / year,,1,
Dimethylamine,Air,high. pop.,kg / year,,1,
Dinitrogen monoxide,Air,stratosphere + troposphere,kg / year,,1,
Dinitrogen monoxide,Air,high. pop.,kg / year,,1,
Dinitrogen monoxide,Air,"low. pop., long-term",kg / year,,1,
Dinitrogen monoxide,Air,low. pop.,kg / year,,1,
Dinitrogen monoxide,Air,,kg / year,,1,
"Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-",Air,high. pop.,kg / year,,1,
"Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-",Air,"low. pop., long-term",kg / year,,1,
"Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-",Air,low. pop.,kg / year,,1,
"Dioxin, 2,3,7,8 Tetrachlorodibenzo-p-",Air,,kg / year,,1,
Dipropylamine,Air,high. pop.,kg / year,,1,
Esfenvalerate,Air,low. pop.,kg / year,,1,
Ethane,Air,high. pop.,kg / year,,1,
Ethane,Air,low. pop.,kg / year,,1,
Ethane,Air,,kg / year,,1,
"Ethane, 1,1-difluoro-, HFC-152a",Air,high. pop.,kg / year,,1,
"Ethane, 1,1-difluoro-, HFC-152a",Air,low. pop.,kg / year,,1,
"Ethane, 1,1,1-trichloro-, HCFC-140",Air,low. pop.,kg / year,,1,
"Ethane, 1,1,1-trichloro-, HCFC-140",Air,,kg / year,,1,
"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",Air,high. pop.,kg / year,,1,
"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",Air,low. pop.,kg / year,,1,
"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",Air,,kg / year,,1,
"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",Air,high. pop.,kg / year,,1,
"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",Air,"low. pop., long-term",kg / year,,1,
"Ethane, 1,1,2-trichloro-1,2,2-trifluoro-, CFC-113",Air,,kg / year,,1,
"Ethane, 1,2-dichloro-",Air,high. pop.,kg / year,,1,
"Ethane, 1,2-dichloro-",Air,low. pop.,kg / year,,1,
"Ethane, 1,2-dichloro-",Air,,kg / year,,1,
"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114",Air,low. pop.,kg / year,,1,
"Ethane, 2-chloro-1,1,1,2-tetrafluoro-, HCFC-124",Air,,kg / year,,1,
"Ethane, chloro-",Air,high. pop.,kg / year,,1,
"Ethane, hexafluoro-, HFC-116",Air,high. pop.,kg / year,,1,
"Ethane, hexafluoro-, HFC-116",Air,,kg / year,,1,
Ethanol,Air,high. pop.,kg / year,,1,
Ethanol,Air,low. pop.,kg / year,,1,
Ethanol,Air,,kg / year,,1,
"Ethanol, 2-ethoxy-",Air,high. pop.,kg / year,,1,
"Ethanol, 2-ethoxy-",Air,low. pop.,kg / year,,1,
Ethene,Air,high. pop.,kg / year,,1,
Ethene,Air,low. pop.,kg / year,,1,
Ethene,Air,,kg / year,,1,
"Ethene, chloro-",Air,high. pop.,kg / year,,1,
"Ethene, chloro-",Air,,kg / year,,1,
"Ethene, tetrachloro-",Air,high. pop.,kg / year,,1,
"Ethene, tetrachloro-",Air,low. pop.,kg / year,,1,
"Ethene, tetrachloro-",Air,,kg / year,,1,
Ethephon,Air,low. pop.,kg / year,,1,
Ethyl acetate,Air,high. pop.,kg / year,,1,
Ethyl cellulose,Air,high. pop.,kg / year,,1,
Ethylamine,Air,high. pop.,kg / year,,1,
Ethylene diamine,Air,high. pop.,kg / year,,1,
Ethylene oxide,Air,stratosphere + troposphere,kg / year,,1,
Ethylene oxide,Air,high. pop.,kg / year,,1,
Ethylene oxide,Air,low. pop.,kg / year,,1,
Ethylene oxide,Air,,kg / year,,1,
Ethyne,Air,high. pop.,kg / year,,1,
