,,,,Date,01/01/2018,01/06/2018
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore",Raw,in ground,kg / year,,,
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore",Raw,in ground,kg / year,,,
"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore",Raw,in ground,kg / year,,,
Neodymium,Raw,in ground,kg / year,,,
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore",Raw,in ground,kg / year,,,
"Nickel, 1.98% in silicates, 1.04% in crude ore",Raw,in ground,kg / year,,,
"Nickel, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore",Raw,in ground,kg / year,,,
"Nickel, Ni 2.5E+0%, in mixed ore, in ground",Raw,in ground,kg / year,,,
"Nickel, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore",Raw,in ground,kg / year,,,
Nitrogen,Raw,in air,kg / year,,,
"Occupation, arable",Raw,land,m2a / year,,,
"Occupation, arable, greenhouse",Raw,land,m2a / year,,,
"Occupation, arable, irrigated",Raw,land,m2a / year,,,
"Occupation, arable, irrigated, intensive",Raw,land,m2a / year,,,
"Occupation, arable, non-irrigated",Raw,land,m2a / year,,,
"Occupation, arable, non-irrigated, extensive",Raw,land,m2a / year,,,
"Occupation, arable, non-irrigated, intensive",Raw,land,m2a / year,,,
"Occupation, construction site",Raw,land,m2a / year,,,
"Occupation, dump site",Raw,land,m2a / year,,,
"Occupation, forest, extensive",Raw,land,m2a / year,,,
"Occupation, forest, intensive",Raw,land,m2a / year,,,
"Occupation, grassland, not used",Raw,land,m2a / year,,,
"Occupation, industrial area",Raw,land,m2a / year,,,
"Occupation, inland waterbody, unspecified",Raw,land,m2a / year,,,
"Occupation, mineral extraction site",Raw,land,m2a / year,,,
"Occupation, pasture and meadow",Raw,land,m2a / year,,,
"Occupation, pasture and meadow, extensive",Raw,land,m2a / year,,,
"Occupation, pasture and meadow, intensive",Raw,land,m2a / year,,,
"Occupation, permanent crop",Raw,land,m2a / year,,,
"Occupation, permanent crops, irrigated, intensive",Raw,land,m2a / year,,,
"Occupation, permanent crops, non-irrigated, intensive",Raw,land,m2a / year,,,
"Occupation, seabed, drilling and mining",Raw,land,m2a / year,,,
"Occupation, seabed, infrastructure",Raw,land,m2a / year,,,
"Occupation, shrub land, sclerophyllous",Raw,land,m2a / year,,,
"Occupation, traffic area, rail network",Raw,land,m2a / year,,,
"Occupation, traffic area, rail/road embankment",Raw,land,m2a / year,,,
"Occupation, traffic area, road network",Raw,land,m2a / year,,,
"Occupation, urban, discontinuously built",Raw,land,m2a / year,,,
"Occupation, urban/industrial fallow",Raw,land,m2a / year,,,
"Occupation, water bodies, artificial",Raw,land,m2a / year,,,
"Oil, crude",Raw,in ground,kg / year,,,
Olivine,Raw,in ground,kg / year,,,
Oxygen,Raw,in air,kg / year,,,
"Palladium, Pd 1.6E-6%, in mixed ore, in ground",Raw,in ground,kg / year,,,
"Palladium, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore",Raw,in ground,kg / year,,,
"Palladium, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore",Raw,in ground,kg / year,,,
Peat,Raw,biotic,kg / year,,,
Perlite,Raw,in ground,kg / year,,,
Phosphorus,Raw,in ground,kg / year,,,
"Phosphorus, 18% in apatite, 4% in crude ore",Raw,in ground,kg / year,,,
"Platinum, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore",Raw,in ground,kg / year,,,
"Platinum, Pt 4.7E-7%, in mixed ore, in ground",Raw,in ground,kg / year,,,
"Platinum, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore",Raw,in ground,kg / year,,,
Potassium chloride,Raw,in ground,kg / year,,,
Praseodymium,Raw,in ground,kg / year,,,
Pumice,Raw,in ground,kg / year,,,
Pyrite,Raw,in ground,kg / year,,,
Rhenium,Raw,in ground,kg / year,,,
"Rhodium, Rh 1.6E-7%, in mixed ore, in ground",Raw,in ground,kg / year,,,
"Rhodium, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore",Raw,in ground,kg / year,,,
"Rhodium, Rh 2.4E-5%, Pt 4.8E-4%, Pd 2.0E-4%, Ni 3.7E-2%, Cu 5.2E-2% in ore",Raw,in ground,kg / year,,,
Samarium,Raw,in ground,kg / year,,,
Sand,Raw,in ground,kg / year,,,
Shale,Raw,in ground,kg / year,,,
"Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In",Raw,in ground,kg / year,,,
"Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore",Raw,in ground,kg / year,,,
"Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore",Raw,in ground,kg / year,,,
"Silver, Ag 1.5E-5%, Au 5.4E-4%, in ore",Raw,in ground,kg / year,,,
"Silver, Ag 1.8E-6%, in mixed ore, in ground",Raw,in ground,kg / year,,,
"Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore",Raw,in ground,kg / year,,,
"Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore",Raw,in ground,kg / year,,,
"Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore",Raw,in ground,kg / year,,,
"Silver, Ag 5.4E-3%, in mixed ore",Raw,in ground,kg / year,,,
"Silver, Ag 7.6E-5%, Au 9.7E-5%, in ore",Raw,in ground,kg / year,,,
"Silver, Ag 9.7E-4%, Au 9.7E-4%, Zn 0.63%, Cu 0.38%, Pb 0.014%, in ore",Raw,in ground,kg / year,,,
Sodium chloride,Raw,in ground,kg / year,,,
Sodium nitrate,Raw,in ground,kg / year,,,
Sodium sulfate,Raw,in ground,kg / year,,,
Spodumene,Raw,in ground,kg / year,,,
"Steatite, in ground",Raw,in ground,kg / year,,,
Stibnite,Raw,in ground,kg / year,,,
Strontium,Raw,in ground,kg / year,,,
Sulfur,Raw,in ground,kg / year,,,
Talc,Raw,in ground,kg / year,,,
Tantalum,Raw,in ground,kg / year,,,
Tellurium,Raw,in ground,kg / year,,,
Tin,Raw,in ground,kg / year,,,
"TiO2, 54% in ilmenite, 18% in crude ore",Raw,in ground,kg / year,,,
"TiO2, 54% in ilmenite, 2.6% in crude ore",Raw,in ground,kg / year,,,
"TiO2, 95% in rutile, 0.40% in crude ore",Raw,in ground,kg / year,,,
"Transformation, from arable",Raw,land,m2 / year,,,
"Transformation, from arable, greenhouse",Raw,land,m2 / year,,,
"Transformation, from arable, irrigated, intensive",Raw,land,m2 / year,,,
"Transformation, from arable, non-irrigated",Raw,land,m2 / year,,,
"Transformation, from arable, non-irrigated, extensive",Raw,land,m2 / year,,,
"Transformation, from arable, non-irrigated, intensive",Raw,land,m2 / year,,,
"Transformation, from cropland fallow (non-use)",Raw,land,m2 / year,,,
"Transformation, from dump site, inert material landfill",Raw,land,m2 / year,,,
"Transformation, from dump site, residual material landfill",Raw,land,m2 / year,,,
"Transformation, from dump site, sanitary landfill",Raw,land,m2 / year,,,
"Transformation, from dump site, slag compartment",Raw,land,m2 / year,,,
"Transformation, from forest",Raw,land,m2 / year,,,
"Transformation, from forest, extensive",Raw,land,m2 / year,,,
"Transformation, from forest, intensive",Raw,land,m2 / year,,,
"Transformation, from forest, primary",Raw,land,m2 / year,,,
"Transformation, from forest, secondary (non-use)",Raw,land,m2 / year,,,
"Transformation, from grassland, not used",Raw,land,m2 / year,,,
"Transformation, from heterogeneous, agricultural",Raw,land,m2 / year,,,
"Transformation, from industrial area",Raw,land,m2 / year,,,
"Transformation, from mineral extraction site",Raw,land,m2 / year,,,
"Transformation, from pasture and meadow",Raw,land,m2 / year,,,
"Transformation, from pasture and meadow, extensive",Raw,land,m2 / year,,,
"Transformation, from pasture and meadow, intensive",Raw,land,m2 / year,,,
"Transformation, from permanent crop",Raw,land,m2 / year,,,
"Transformation, from permanent crops, irrigated, intensive",Raw,land,m2 / year,,,
"Transformation, from permanent crops, non-irrigated, intensive",Raw,land,m2 / year,,,
"Transformation, from sea and ocean",Raw,land,m2 / year,,,
"Transformation, from seabed, infrastructure",Raw,land,m2 / year,,,
"Transformation, from shrub land, sclerophyllous",Raw,land,m2 / year,,,
"Transformation, from traffic area, rail/road embankment",Raw,land,m2 / year,,,
"Transformation, from traffic area, road network",Raw,land,m2 / year,,,
"Transformation, from unknown",Raw,land,m2 / year,,,
"Transformation, from unspecified, natural",Raw,land,m2 / year,,,
"Transformation, from wetland, inland (non-use)",Raw,land,m2 / year,,,
"Transformation, to arable",Raw,land,m2 / year,,,
"Transformation, to arable, fallow",Raw,land,m2 / year,,,
"Transformation, to arable, greenhouse",Raw,land,m2 / year,,,
"Transformation, to arable, irrigated, extensive",Raw,land,m2 / year,,,
"Transformation, to arable, irrigated, intensive",Raw,land,m2 / year,,,
"Transformation, to arable, non-irrigated",Raw,land,m2 / year,,,
"Transformation, to arable, non-irrigated, extensive",Raw,land,m2 / year,,,
"Transformation, to arable, non-irrigated, intensive",Raw,land,m2 / year,,,
"Transformation, to dump site",Raw,land,m2 / year,,,
"Transformation, to dump site, inert material landfill",Raw,land,m2 / year,,,
"Transformation, to dump site, residual material landfill",Raw,land,m2 / year,,,
"Transformation, to dump site, sanitary landfill",Raw,land,m2 / year,,,
"Transformation, to dump site, slag compartment",Raw,land,m2 / year,,,
"Transformation, to forest",Raw,land,m2 / year,,,
"Transformation, to forest, extensive",Raw,land,m2 / year,,,
"Transformation, to forest, intensive",Raw,land,m2 / year,,,
"Transformation, to forest, secondary (non-use)",Raw,land,m2 / year,,,
"Transformation, to grassland, natural (non-use)",Raw,land,m2 / year,,,
"Transformation, to heterogeneous, agricultural",Raw,land,m2 / year,,,
"Transformation, to industrial area",Raw,land,m2 / year,,,
"Transformation, to inland waterbody, unspecified",Raw,land,m2 / year,,,
"Transformation, to mineral extraction site",Raw,land,m2 / year,,,
"Transformation, to pasture and meadow",Raw,land,m2 / year,,,
"Transformation, to pasture and meadow, extensive",Raw,land,m2 / year,,,
"Transformation, to pasture and meadow, intensive",Raw,land,m2 / year,,,
"Transformation, to permanent crop",Raw,land,m2 / year,,,
"Transformation, to permanent crops, irrigated, intensive",Raw,land,m2 / year,,,
"Transformation, to permanent crops, non-irrigated",Raw,land,m2 / year,,,
"Transformation, to permanent crops, non-irrigated, intensive",Raw,land,m2 / year,,,
"Transformation, to seabed, drilling and mining",Raw,land,m2 / year,,,
"Transformation, to seabed, infrastructure",Raw,land,m2 / year,,,
"Transformation, to seabed, unspecified",Raw,land,m2 / year,,,
"Transformation, to shrub land, sclerophyllous",Raw,land,m2 / year,,,
"Transformation, to traffic area, rail network",Raw,land,m2 / year,,,
"Transformation, to traffic area, rail/road embankment",Raw,land,m2 / year,,,
"Transformation, to traffic area, road network",Raw,land,m2 / year,,,
"Transformation, to unknown",Raw,land,m2 / year,,,
"Transformation, to urban, discontinuously built",Raw,land,m2 / year,,,
"Transformation, to urban/industrial fallow",Raw,land,m2 / year,,,
"Transformation, to water bodies, artificial",Raw,land,m2 / year,,,
"Transformation, to wetland, inland (non-use)",Raw,land,m2 / year,,,
Ulexite,Raw,in ground,kg / year,,,
Uranium,Raw,in ground,kg / year,,,
Vermiculite,Raw,in ground,kg / year,,,
"Volume occupied, final repository for low-active radioactive waste",Raw,in ground,m3 / year,,,
"Volume occupied, final repository for radioactive waste",Raw,in ground,m3 / year,,,
"Volume occupied, reservoir",Raw,in water,m3y / year,,,
"Volume occupied, underground deposit",Raw,in ground,m3 / year,,,
"Water, cooling, unspecified natural origin, AT",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, AU",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, BA",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, BE",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, BG",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, BR",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, CA",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, CH",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, CL",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, CN",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, CY",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, CZ",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, DE",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, DK",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, EE",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, ES",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, Europe without Switzerland",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, FI",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, FR",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, GB",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, GLO",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, GR",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, HR",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, HU",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, ID",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, IE",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, IN",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, IR",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, IS",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, IT",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, JP",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, KR",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, LT",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, LU",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, LV",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, MA",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, MK",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, MT",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, MX",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, MY",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, NL",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, NO",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, PE",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, PH",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, PL",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, PT",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, RER",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, RNA",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, RO",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, RoW",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, RS",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, RU",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, SA",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, SE",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, SI",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, SK",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, TH",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, TR",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, TW",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, TZ",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, UA",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, US",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, WEU",Raw,in water,m3 / year,,,
"Water, cooling, unspecified natural origin, ZA",Raw,in water,m3 / year,,,
"Water, lake, AT",Raw,in water,m3 / year,,,
"Water, lake, BE",Raw,in water,m3 / year,,,
"Water, lake, BG",Raw,in water,m3 / year,,,
"Water, lake, CA",Raw,in water,m3 / year,,,
"Water, lake, CH",Raw,in water,m3 / year,,,
"Water, lake, CN",Raw,in water,m3 / year,,,
"Water, lake, CZ",Raw,in water,m3 / year,,,
"Water, lake, DE",Raw,in water,m3 / year,,,
"Water, lake, DK",Raw,in water,m3 / year,,,
"Water, lake, ES",Raw,in water,m3 / year,,,
"Water, lake, Europe without Switzerland",Raw,in water,m3 / year,,,
"Water, lake, FI",Raw,in water,m3 / year,,,
"Water, lake, FR",Raw,in water,m3 / year,,,
"Water, lake, GB",Raw,in water,m3 / year,,,
"Water, lake, GLO",Raw,in water,m3 / year,,,
"Water, lake, HU",Raw,in water,m3 / year,,,
"Water, lake, IT",Raw,in water,m3 / year,,,
"Water, lake, JP",Raw,in water,m3 / year,,,
"Water, lake, KR",Raw,in water,m3 / year,,,
"Water, lake, LU",Raw,in water,m3 / year,,,
"Water, lake, NL",Raw,in water,m3 / year,,,
"Water, lake, NO",Raw,in water,m3 / year,,,
"Water, lake, PL",Raw,in water,m3 / year,,,
"Water, lake, PT",Raw,in water,m3 / year,,,
"Water, lake, RER",Raw,in water,m3 / year,,,
"Water, lake, RNA",Raw,in water,m3 / year,,,
"Water, lake, RoW",Raw,in water,m3 / year,,,
"Water, lake, RU",Raw,in water,m3 / year,,,
"Water, lake, SE",Raw,in water,m3 / year,,,
"Water, lake, SK",Raw,in water,m3 / year,,,
"Water, lake, TR",Raw,in water,m3 / year,,,
"Water, lake, TW",Raw,in water,m3 / year,,,
"Water, lake, US",Raw,in water,m3 / year,,,
"Water, river, AT",Raw,in water,m3 / year,,,
"Water, river, AU",Raw,in water,m3 / year,,,
"Water, river, BE",Raw,in water,m3 / year,,,
"Water, river, BG",Raw,in water,m3 / year,,,
"Water, river, BR",Raw,in water,m3 / year,,,
"Water, river, CA",Raw,in water,m3 / year,,,
"Water, river, CH",Raw,in water,m3 / year,,,
"Water, river, CN",Raw,in water,m3 / year,,,
"Water, river, CZ",Raw,in water,m3 / year,,,
"Water, river, DE",Raw,in water,m3 / year,,,
"Water, river, DK",Raw,in water,m3 / year,,,
"Water, river, EE",Raw,in water,m3 / year,,,
"Water, river, ES",Raw,in water,m3 / year,,,
"Water, river, Europe without Switzerland",Raw,in water,m3 / year,,,
"Water, river, FI",Raw,in water,m3 / year,,,
"Water, river, FR",Raw,in water,m3 / year,,,
"Water, river, GB",Raw,in water,m3 / year,,,
"Water, river, GLO",Raw,in water,m3 / year,,,
"Water, river, GR",Raw,in water,m3 / year,,,
"Water, river, HR",Raw,in water,m3 / year,,,
"Water, river, HU",Raw,in water,m3 / year,,,
"Water, river, IE",Raw,in water,m3 / year,,,
"Water, river, IN",Raw,in water,m3 / year,,,
"Water, river, IR",Raw,in water,m3 / year,,,
"Water, river, IT",Raw,in water,m3 / year,,,
"Water, river, JP",Raw,in water,m3 / year,,,
"Water, river, KR",Raw,in water,m3 / year,,,
"Water, river, LT",Raw,in water,m3 / year,,,
"Water, river, LU",Raw,in water,m3 / year,,,
"Water, river, LV",Raw,in water,m3 / year,,,
"Water, river, MX",Raw,in water,m3 / year,,,
"Water, river, MY",Raw,in water,m3 / year,,,
"Water, river, NL",Raw,in water,m3 / year,,,
"Water, river, NO",Raw,in water,m3 / year,,,
"Water, river, PE",Raw,in water,m3 / year,,,
"Water, river, PH",Raw,in water,m3 / year,,,
"Water, river, PL",Raw,in water,m3 / year,,,
"Water, river, PT",Raw,in water,m3 / year,,,
"Water, river, RAS",Raw,in water,m3 / year,,,
"Water, river, RER",Raw,in water,m3 / year,,,
"Water, river, RLA",Raw,in water,m3 / year,,,
"Water, river, RNA",Raw,in water,m3 / year,,,
"Water, river, RO",Raw,in water,m3 / year,,,
"Water, river, RoW",Raw,in water,m3 / year,,,
"Water, river, RS",Raw,in water,m3 / year,,,
"Water, river, RU",Raw,in water,m3 / year,,,
"Water, river, SE",Raw,in water,m3 / year,,,
"Water, river, SI",Raw,in water,m3 / year,,,
"Water, river, SK",Raw,in water,m3 / year,,,
"Water, river, TH",Raw,in water,m3 / year,,,
"Water, river, TN",Raw,in water,m3 / year,,,
"Water, river, TR",Raw,in water,m3 / year,,,
"Water, river, TW",Raw,in water,m3 / year,,,
"Water, river, TZ",Raw,in water,m3 / year,,,
"Water, river, US",Raw,in water,m3 / year,,,
"Water, river, WEU",Raw,in water,m3 / year,,,
"Water, river, ZA",Raw,in water,m3 / year,,,
"Water, salt, ocean",Raw,in water,m3 / year,,,
"Water, salt, sole",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, AT",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, AU",Raw,in water,m3 / year,,,
"Water, turbine use, unspecified natural origin, BA",Raw,in water,m3 / year,,,
