"Acronym, Common Name or Chemical Name",Chemical Formula,Lifetime (Years),Radiative Efficiency (W m-2 ppb-1),AGWP 20-year (W m-2 yr kg-1),GWP 20-year,AGWP 100-year (W m-2 yr kg-1),GWP 100-year,AGTP 20-year (K kg-1),GTP 20-year,AGTP 50-year (K kg-1),GTP 50-year,AGTP 100-year (K kg-1),GTP 100-year
HCFC-132c,CH2FCFCl2,4.3,0.17,3.07E-11,1230,3.1E-11,338,4.27E-13,624,4.14E-14,67,2.58E-14,47
HCFC-141b,CH3CCl2F,9.2,0.16,6.36E-11,2550,7.17E-11,782,1.27E-12,1850,1.67E-13,271,6.09E-14,111
HCFC-142b,CH3CClF2,17.2,0.19,1.25E-10,5020,1.82E-10,1980,3.01E-12,4390,8.46E-13,1370,1.95E-13,356
HCFC-225ca,CHCl2CF2CF3,1.9,0.22,1.17E-11,469,1.17E-11,127,1.17E-13,170,1.38E-14,22,9.65E-15,18
HCFC-225cb,CHClFCF2CClF2,5.9,0.29,4.65E-11,1860,4.81E-11,525,7.61E-13,1110,7.43E-14,120,4.01E-14,73
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",trans-CF3CH=CHCl,0.07,0.04,1.37E-13,5,1.37E-13,1,1.09E-15,2,1.54E-16,<1,1.12E-16,<1
HFC-23,CHF3,222,0.18,2.7E-10,10800,1.14E-09,12400,7.88E-12,11500,7.99E-12,13000,6.95E-12,12700
HFC-32,CH2F2,5.2,0.11,6.07E-11,2430,6.21E-11,677,9.32E-13,1360,8.93E-14,145,5.17E-14,94
HFC-41,CH3F,2.8,0.02,1.07E-11,427,1.07E-11,116,1.21E-13,177,1.31E-14,21,8.82E-15,16
HFC-125,CHF2CF3,28.2,0.23,1.52E-10,6090,2.91E-10,3170,3.97E-12,5800,1.84E-12,2980,5.29E-13,967
HFC-134,CHF2CHF2,9.7,0.19,8.93E-11,3580,1.02E-10,1120,1.82E-12,2660,2.54E-13,412,8.73E-14,160
HFC-134a,CH2FCF3,13.4,0.16,9.26E-11,3710,1.19E-10,1300,2.09E-12,3050,4.33E-13,703,1.1E-13,201
HFC-143,CH2FCHF2,3.5,0.13,3E-11,1200,3.01E-11,328,3.76E-13,549,3.82E-14,62,2.49E-14,46
HFC-143a,CH3CF3,47.1,0.16,1.73E-10,6940,4.41E-10,4800,4.76E-12,6960,3.12E-12,5060,1.37E-12,2500
HFC-152,CH2FCH2F,0.4,0.04,1.51E-12,60,1.51E-12,16,1.25E-14,18,1.71E-15,3,1.24E-15,2
HFC-152a,CH3CHF2,1.5,0.1,1.26E-11,506,1.26E-11,138,1.19E-13,174,1.47E-14,24,1.04E-14,19
HFC-161,CH3CH2F,0.18,0.02,3.33E-13,13,3.33E-13,4,2.7E-15,4,3.76E-16,<1,2.74E-16,<1
HFC-227ca,CF3CF2CHF2,28.2,0.27,1.27E-10,5080,2.42E-10,2640,3.31E-12,4830,1.53E-12,2480,4.41E-13,806
HFC-227ea,CF3CHFCF3,38.9,0.26,1.34E-10,5360,3.07E-10,3350,3.61E-12,5280,2.12E-12,3440,7.98E-13,1460
HFC-236cb,CH2FCF2CF3,13.1,0.23,8.67E-11,3480,1.11E-10,1210,1.94E-12,2840,3.92E-13,636,1.01E-13,185
HFC-236ea,CHF2CHFCF3,11,0.3,1.03E-10,4110,1.22E-10,1330,2.18E-12,3190,3.53E-13,573,1.06E-13,195
HFC-236fa,CF3CH2CF3,242,0.24,1.73E-10,6940,7.39E-10,8060,5.06E-12,7400,5.18E-12,8400,4.58E-12,8380
HFC-245ca,CH2FCF2CHF2,6.5,0.24,6.26E-11,2510,6.56E-11,716,1.07E-12,1570,1.09E-13,176,5.49E-14,100
HFC-245cb,CF3CF2CH3,47.1,0.24,1.67E-10,6680,4.24E-10,4620,4.58E-12,6690,3E-12,4870,1.32E-12,2410
HFC-245ea,CHF2CHFCHF2,3.2,0.16,2.15E-11,863,2.16E-11,235,2.59E-13,378,2.7E-14,44,1.79E-14,33
HFC-245eb,CH2FCHFCF3,3.1,0.2,2.66E-11,1070,2.66E-11,290,3.15E-13,460,3.31E-14,54,2.2E-14,40
HFC-245fa,CHF2CH2CF3,7.7,0.24,7.29E-11,2920,7.87E-11,858,1.35E-12,1970,1.51E-13,245,6.62E-14,121
HFC-263fb,CH3CH2CF3,1.2,0.1,6.93E-12,278,6.93E-12,76,6.31E-14,92,8.02E-15,13,5.7E-15,10
HFC-272ca,CH3CF2CH3,2.6,0.07,1.32E-11,530,1.32E-11,144,1.46E-13,213,1.61E-14,26,1.09E-14,20
HFC-329p,CHF2CF2CF2CF3,28.4,0.31,1.13E-10,4510,2.16E-10,2360,2.94E-12,4290,1.37E-12,2220,3.96E-13,725
HFC-365mfc,CH3CF2CH2CF3,8.7,0.22,6.64E-11,2660,7.38E-11,804,1.3E-12,1890,1.62E-13,262,6.24E-14,114
HFC-43-10mee,CF3CHFCHFCF2CF3,16.1,0.42,1.08E-10,4310,1.51E-10,1650,2.54E-12,3720,6.62E-13,1070,1.54E-13,281
HFC-1132a,CH2=CF2,0.01,0.004,3.87E-15,<1,3.87E-15,<1,3.08E-17,<1,4.35E-18,<1,3.18E-18,<1
HFC-1141,CH2=CHF,0.01,0.002,1.54E-15,<1,1.54E-15,<1,1.23E-17,<1,1.73E-18,<1,1.27E-18,<1
(Z)-HFC-1225ye,CF3CF=CHF(Z),0.02,0.02,2.14E-14,<1,2.14E-14,<1,1.7E-16,<1,2.4E-17,<1,1.76E-17,<1
(E)-HFC-1225ye,CF3CF=CHF(E),0.01,0.01,7.25E-15,<1,7.25E-15,<1,5.77E-17,<1,8.14E-18,<1,5.95E-18,<1
(Z)-HFC-1234ze,CF3CH=CHF(Z),0.03,0.02,2.61E-14,1,2.61E-14,<1,2.08E-16,<1,2.93E-17,<1,2.14E-17,<1
HFC-1234yf,CF3CF=CH2,0.03,0.02,3.22E-14,1,3.22E-14,<1,2.57E-16,<1,3.62E-17,<1,2.65E-17,<1
(E)-HFC-1234ze,trans-CF3CH=CHF,0.04,0.04,8.74E-14,4,8.74E-14,<1,6.98E-16,<1,9.82E-17,<1,7.18E-17,<1
HFC-1243zf,CF3CH=CH2,0.02,0.01,1.37E-14,1,1.37E-14,<1,1.09E-16,<1,1.53E-17,<1,1.12E-17,<1
HFC-1345zfc,C2F5CH=CH2,0.02,0.01,1.15E-14,<1,1.15E-14,<1,9.19E-17,<1,8.13E-16,<1,9.48E-18,<1
"3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene",C4F9CH=CH2,0.02,0.03,1.25E-14,<1,1.25E-14,<1,9.92E-17,<1,1.4E-17,<1,1.02E-17,<1
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene",C6F13CH=CH2,0.02,0.03,9.89E-15,<1,9.89E-15,<1,7.87E-17,<1,1.11E-17,<1,8.12E-18,<1
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene",C8F17CH=CH2,0.02,0.03,8.52E-15,<1,8.52E-15,<1,6.79E-17,<1,9.57E-18,<1,7E-18,<1
Methyl chloroform,CH3CCl3,5,0.07,1.44E-11,578,1.47E-11,160,2.17E-13,317,2.07E-14,34,1.22E-14,22
Carbon tetrachloride,CCl4,26,0.17,8.69E-11,3480,1.59E-10,1730,2.24E-12,3280,9.68E-13,1570,2.62E-13,479
Methyl chloride,CH3Cl,1,0.01,1.12E-12,45,1.12E-12,12,9.93E-15,15,1.29E-15,2,9.2E-16,2
Methylene chloride,CH2Cl2,0.4,0.03,8.18E-13,33,8.18E-13,9,6.78E-15,10,9.26E-16,2,6.72E-16,1
Chloroform,CHCl3,0.4,0.08,1.5E-12,60,1.5E-12,16,1.25E-14,18,1.7E-15,3,1.24E-15,2
"1,2-Dichloroethane",CH2ClCH2Cl,0.18,0.01,8.24E-14,3,8.24E-14,<1,6.67E-16,<1,9.29E-17,<1,6.77E-17,<1
Methyl bromide,CH3Br,0.8,0.004,2.16E-13,9,2.16E-13,2,1.87E-15,3,2.47E-16,<1,1.78E-16,<1
Methylene bromide,CH2Br2,0.3,0.01,9.31E-14,4,9.31E-14,1,7.66E-16,1,1.05E-16,<1,7.65E-17,<1
Halon-1201,CHBrF2,5.2,0.15,3.37E-11,1350,3.45E-11,376,5.17E-13,756,4.96E-14,80,2.87E-14,52
Halon-1202,CBr2F2,2.9,0.27,2.12E-11,848,2.12E-11,231,2.43E-13,356,2.61E-14,42,1.75E-14,32
