"Acronym, Common Name or Chemical Name",Chemical Formula,Lifetime (Years),Radiative Efficiency (W m-2 ppb-1),AGWP 20-year (W m-2 yr kg-1),GWP 20-year,AGWP 100-year (W m-2 yr kg-1),GWP 100-year,AGTP 20-year (K kg-1),GTP 20-year,AGTP 50-year (K kg-1),GTP 50-year,AGTP 100-year (K kg-1),GTP 100-year
"2,2,3,3,3-Pentafluoropropan-1-ol",CF3CF2CH2OH,0.3,0.14,1.72E-12,69,1.72E-12,19,1.42E-14,21,1.95E-15,3,1.42E-15,3
HFE-254cb1,CH3OCF2CHF2,2.5,0.26,2.76E-11,1110,2.76E-11,301,2.99E-13,438,3.34E-14,54,2.28E-14,42
HFE-263fb2,CF3CH2OCH3,0.062970568,0.04,1.22E-13,5,1.22E-13,1,9.72E-16,1,1.37E-16,<1,9.98E-17,<1
HFE-263m1,CF3OCH2CH3,0.4,0.13,2.7E-12,108,2.7E-12,29,2.25E-14,33,3.06E-15,5,2.22E-15,4
"3,3,3-Trifluoropropan-1-ol",CF3CH2CH2OH,0.032854209,0.02,3.57E-14,1,3.57E-14,<1,2.85E-16,<1,4.01E-17,<1,2.93E-17,<1
HFE-329mcc2,CHF2CF2OCF2CF3,22.5,0.53,1.68E-10,6720,2.81E-10,3070,4.23E-12,6180,1.59E-12,2580,3.93E-13,718
HFE-338mcf2,CF3CH2OCF2CF3,7.5,0.44,7.93E-11,3180,8.52E-11,929,1.45E-12,2120,1.6E-13,259,7.16E-14,131
Sevoflurane (HFE-347mmz1),(CF3)2CHOCH2F,2.2,0.32,1.98E-11,795,1.98E-11,216,2.06E-13,302,8.24E-13,38,1.64E-14,30
HFE-347mcc3 (HFE-7000),CH3OCF2CF2CF3,5,0.35,4.78E-11,1910,4.86E-11,530,7.18E-13,1050,6.87E-14,111,4.05E-14,74
HFE-347mcf2,CHF2CH2OCF2CF3,6.6,0.42,7.45E-11,2990,7.83E-11,854,1.29E-12,1880,1.31E-13,212,6.55E-14,120
HFE-347pcf2,CHF2CF2OCH2CF3,6,0.48,7.86E-11,3150,8.15E-11,889,1.3E-12,1900,1.27E-13,206,6.81E-14,124
HFE-347mmy1,(CF3)2CFOCH3,3.7,0.32,3.32E-11,1330,3.33E-11,363,4.27E-13,624,4.28E-14,69,2.76E-14,51
HFE-356mec3,CH3OCF2CHFCF3,3.8,0.3,3.53E-11,1410,3.55E-11,387,4.6E-13,673,4.58E-14,74,2.94E-14,54
HFE-356mff2,CF3CH2OCH2CF3,0.287474333,0.17,1.54E-12,62,1.54E-12,17,1.26E-14,18,1.74E-15,3,1.26E-15,2
